#theta_nq = 95 +/- 5 deg :: All errors are relative, dsig / sig [%] 
#!pm_avg[f,0]/   kin_syst[f,1]/   norm_syst[f,2]/   tot_syst[f,3]/   tot_stats[f,4]/   tot_err[f,5]/
0.03065  0.00000   0.00000   0.00000  27.74310   27.74310
0.05955  0.00000   0.00000   0.00000  9.74760   9.74760
0.09867  0.00000   0.00000   0.00000  5.75360   5.75360
0.13769  0.00000   0.00000   0.00000  4.94590   4.94590
0.17779  0.00000   0.00000   0.00000  5.70880   5.70880
0.21784  0.00000   0.00000   0.00000  6.89780   6.89780
0.25810  0.00000   0.00000   0.00000  9.85970   9.85970
0.29765  0.00000   0.00000   0.00000  12.55460   12.55460
0.33674  0.00000   0.00000   0.00000  19.13760   19.13760
0.37479  0.00000   0.00000   0.00000  41.18420   41.18420
0.41148  0.00000   0.00000   0.00000  85.31320   85.31320
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
